time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.304787913187176e-08,3.807408291901082e-07,10.008078486687277,0.0002873762883197628,6.2830933841342365,0.0,8.032880332224148e-06,3.2731595200985756e-05,0.2692577929936461,0.012967940439673111,-0.0047874164557718795,0.0,487.3974436052321,487.03961204490406,487.61411540427474,488.5816667422141
0.12000000000000001,3.6887178596536198e-06,1.1349843014946156e-05,10.027536560665954,0.0010109078549609407,6.282569751769216,0.0,0.00015292334899512453,0.00041066733784848365,0.37931384696580467,0.010175757990217178,-0.01807911304743135,0.0,441.2520887238334,440.15374058542096,439.75610497378,439.52467545411105
0.18,3.367287093638868e-05,6.451852955088977e-05,10.057993549205547,0.001220008822013341,6.281307637780753,0.0,0.0009923824231334339,0.0014195823782716293,0.6358113726084698,-0.015310288337835347,-0.027721717371132274,0.0,485.0346449585424,484.31008128295986,484.69309349375646,482.7741967389088
0.23999999999999996,0.00013865707421964083,0.00017146396393258255,10.099237127538963,6.283118178358517,6.279369680580487,0.0,0.00268932141199618,0.0020366070559617844,0.7389127290249826,-0.038039884857777664,-0.04353652093894351,0.0,439.2232111601419,437.90938248633336,439.0126920344968,437.1228321822805
0.3,0.0003641348529437801,0.00028627587988853004,10.140862077240268,6.280674722142479,6.276967545931004,0.0,0.005011381086789224,0.0016164249299752752,0.6486412623720753,-0.04671915084619602,-0.03382193185630551,0.0,371.097642033646,372.04867783199006,373.32808266493277,372.4791282234155
0.36000000000000004,0.0008154676792865069,0.00031401532651127923,10.18495573060377,6.277557970276913,6.274685403849912,0.0,0.010273395180008044,-0.0010218675163922736,0.8210360225365287,-0.0652590173776852,-0.04817842719369072,0.0,461.0646332691253,459.9284592694445,459.7583539674418,458.2855281729811
0.4200000000000001,0.0016244042799469164,0.00011760929259850119,10.237885961973515,6.273117357742972,6.271328865845081,0.0,0.017010417728519717,-0.005951087733375442,0.9432056828881692,-0.10401178582987888,-0.07978657690327938,0.0,444.14104166935147,441.53888291100276,447.9238592672583,444.7566141590609
0.48000000000000015,0.0029093892239626085,-0.0004718719881853533,10.297578680125978,6.267348855249871,6.266733454806435,0.0,0.02630139525437234,-0.014309078604037179,1.0464483763154193,-0.08381219960056091,-0.07086431832813757,0.0,438.33465117515635,439.0706372714104,438.2161094103755,439.8835471996272
0.5400000000000001,0.0047821970162947635,-0.0016178638729076203,10.35984893801806,6.262322459729223,6.26322447916548,0.0,0.03644804516838422,-0.02431639833884628,1.0292291598269374,-0.08369554164311968,-0.04110792036794711,0.0,397.8576978563502,400.5693669548204,399.13341086948867,399.1374477825683
0.6000000000000002,0.007377235750288335,-0.0035123811649107155,10.423924001451642,6.257196123871079,6.260566198413713,0.0,0.050303599299757897,-0.03933274500647586,1.106517148044047,-0.08917330367616155,-0.05161625039353469,0.0,430.72343740974065,429.8326992763411,431.59107811677774,431.122286749122
0.6600000000000003,0.010858777377213068,-0.006411450157254836,10.492634177942692,6.251452760893052,6.256979700162498,0.0,0.06606593174962673,-0.057842654380580796,1.183721249611637,-0.11390644232067693,-0.08584509533212557,0.0,432.0264163036165,429.127862226216,432.4599150148721,430.3632821591031
0.7200000000000003,0.015431562493528393,-0.01062126574252032,10.568398887518121,6.244774090668358,6.251751226440547,0.0,0.0869292903718616,-0.08322482559782327,1.3415535896547912,-0.10657316855902729,-0.08986642287991563,0.0,457.01789529118946,456.69122421486645,455.8628581860865,456.43773913501605
0.7800000000000004,0.02141147068886875,-0.016546080078703704,10.654770481687013,6.239102975580142,6.246307032440466,0.0,0.11302253345792392,-0.1149511156784748,1.5372048166999788,-0.07747848591991338,-0.0925349262481799,0.0,467.89527024831267,467.6810360840108,467.78768218575186,470.0400749845923
0.8400000000000004,0.029000330860856655,-0.024401483299527182,10.750663507558427,6.234893430881224,6.241809378027668,0.0,0.14044802293963485,-0.14735025346936792,1.6590150096211123,-0.05852175855064379,-0.0529121463864986,0.0,445.17381834672085,448.3988807597029,445.43798701620887,446.9815126378372
0.9000000000000005,0.03824805667147536,-0.034199340571457605,10.852075823886247,6.2312710683563886,6.238465598882991,0.0,0.16811876726742983,-0.17958386112498131,1.7212682946450912,-0.06435656992022717,-0.062059447116574844,0.0,429.01091278020465,428.231318729924,427.5835552321689,427.0834621871891
0.9600000000000005,0.049544708703168606,-0.046375358863943276,10.96428059436979,6.227235619422007,6.234527355242864,0.0,0.2089150128719372,-0.22677437440164072,2.018355121678338,-0.07379917470842605,-0.07397198495493774,0.0,500.0113997903709,499.14014338438346,498.59773540800586,497.9045646241021
1.0200000000000005,0.06325038441143375,-0.061324090672094635,11.091339639219918,6.2231136544623595,6.230120406866572,0.0,0.24843745286051372,-0.27199134583978574,2.216517948249989,-0.06007440754068144,-0.07242399459153849,0.0,471.73204339834683,471.84770124097514,470.8283849416181,471.88563296440316
1.0800000000000005,0.07940968833280135,-0.07905584032345747,11.229881364478695,6.219461680886866,6.2257309599241015,0.0,0.2906850642566598,-0.3194589517324906,2.401103679330855,-0.06249809440617391,-0.07466539267135847,0.0,468.6485970345908,468.47049714752717,468.3892452460632,468.19829083231497
1.1400000000000006,0.09818481498399545,-0.0996976701261607,11.379137350456807,6.216241237295527,6.221880132646497,0.0,0.33559239181556266,-0.3689653600531751,2.5736541459807674,-0.04018195260031795,-0.04879597521293086,0.0,464.1386217119344,466.1613634541372,465.4444275977162,467.18570509864634
